,PC1,PC2,PC3
NOX,0.026516948655183566,0.020187807614247107,0.5575673015200192
NO,0.0067218568602098626,0.061797549957561926,0.5046343327375721
NO2,0.05782419957035655,-0.07659728218732521,0.4432887040203506
SO2,-0.12757142487870418,-0.05787799364997431,0.46067403538828783
H2S,0.11157265128038314,0.11243827803594963,0.15250899632501416
Benzene,-0.00829432260286552,0.5557691526839559,0.004383308992248382
Toluene,-0.0022735305444276984,0.5745882404499266,0.0034757527528838862
Ethylbenzene,-0.001199246356048534,0.5758841459343385,-0.01023966498158
PM1 FIDAS,0.40985660266775215,0.03313440835380571,0.038629532990397134
PM2.5 FIDAS,0.4465288149177883,0.012314489089740878,0.00809721981700509
PM4 FIDAS,0.46099386584733637,-0.004642644350250615,-0.013381694698065194
PM10 FIDAS,0.4543210932051137,-0.024028355650463157,-0.018472243706676904
TSP FIDAS,0.4252249813410575,-0.03731145575581907,-0.01625466772735643
