species,category,reasons,snr,missing_frac,bdl_frac
NOX,strong,,3.8761518870420524,0.0,0.0
NO,strong,,3.5814684498016987,0.0,0.002129258517034068
NO2,strong,,3.6926755916575384,0.0,0.00375751503006012
SO2,strong,,2.6251468327115464,0.0,0.02843186372745491
H2S,strong,,2.233195188489529,0.0,0.10971943887775551
Benzene,weak,S/N < 2.0,1.3169633953507134,0.0,0.0
Toluene,weak,S/N < 2.0,1.1715869384950421,0.0,0.0
Ethylbenzene,weak,S/N < 2.0,0.7063432479803137,0.0,0.0
PM1 FIDAS,strong,,4.816832425412931,0.0,0.07878256513026052
PM2.5 FIDAS,strong,,5.860504429260074,0.0,0.03707414829659319
PM4 FIDAS,strong,,4.737322797563326,0.0,0.04872244488977956
PM10 FIDAS,strong,,3.906866375846383,0.0,0.03970440881763527
TSP FIDAS,strong,,2.983280011381019,0.0,0.03519539078156313
