,PC1,PC2,PC3,PC4,PC5
NOX,-0.0064715775922126175,0.6136783801489722,0.0019647929509355212,0.03395463381416987,-0.0027885148717948314
NO,-0.05464847497301685,0.5100529389090994,0.0195576459874534,0.27779001614641113,-0.027088844298951874
NO2,0.04626851679544271,0.6000940803560496,-0.017330933197088463,-0.23342680651674927,0.02369703741301353
SO2,0.0011493521004134284,0.0009029899903544867,0.0018543666322485826,0.012242466412114522,0.9909661942590472
H2S,0.0019761409031542805,-0.012259135075338585,-0.0037056682129350416,0.8995117072265211,0.017994648127918806
Benzene,0.008354939083266014,0.03342560061933186,0.5560939196542869,-0.08544104693897234,-0.061782830347461674
Toluene,0.0018452920781297502,-0.008817639986278988,0.5893397826134309,0.007661291811039208,0.03654569135477804
Ethylbenzene,-0.009596687795649095,-0.023113199235585004,0.5849819457072858,0.054522320083795095,0.024209585619577315
PM1 FIDAS,0.39616182653335236,-0.018564335413020522,0.01903089353632939,0.16811609451306947,-0.0674127348429862
PM2.5 FIDAS,0.4439824360668648,-0.010666353271656364,0.006431521287243222,0.06921061871323556,-0.03259449119254913
PM4 FIDAS,0.4593008582390779,-0.003979468766501321,-0.0035701692208304193,0.009014352923783053,-0.009315675492936819
PM10 FIDAS,0.4663091602769954,0.013516161796814832,-0.007076900904247405,-0.059342468918175344,0.026757099517423867
TSP FIDAS,0.46064546765917036,0.024385819904471626,-0.008002156819693136,-0.10456125915172251,0.06488953701402092
