species,snr,missing_frac,bdl_frac,valid_frac,variance,total_count,mdl
NOX,3.888466263692928,0.0,0.0,1.0,280.1853663744994,2525,1.0
NO,3.5656084468645806,0.0,0.006732673267326733,0.9932673267326733,39.27665203181021,2525,0.5
NO2,3.7409062146185206,0.0,0.0,1.0,80.49803849169666,2525,1.0
SO2,2.577250179526039,0.0,0.03128712871287129,0.9687128712871287,4.0276682431742294,2525,0.5
H2S,1.678530722911875,0.0,0.16673267326732674,0.8332673267326732,4.09652691591088,2525,0.5
Benzene,1.2729162591476948,0.0,0.0,1.0,0.007034659365144122,2525,0.01
Toluene,1.1357306169622914,0.0,0.0,1.0,0.21303572870345672,2525,0.02
Ethylbenzene,0.4785490076723788,0.0,0.0,1.0,0.02035304875178485,2525,0.02
PM1 FIDAS,4.381899689871588,0.0,0.08752475247524752,0.9124752475247525,7.1651330112142375,2525,1.0
PM2.5 FIDAS,5.6436553048628575,0.0,0.03564356435643564,0.9643564356435643,12.16963305526263,2525,1.0
PM4 FIDAS,4.651036493235221,0.0,0.03445544554455446,0.9655445544554455,20.14379868941796,2525,1.5
PM10 FIDAS,3.923035930915328,0.0,0.01900990099009901,0.980990099009901,43.14527152941146,2525,2.0
TSP FIDAS,3.0428740017813216,0.0,0.014257425742574258,0.9857425742574257,81.02200198116086,2525,2.5
