species,category,reasons,snr,missing_frac,bdl_frac
NOX,strong,,3.888466263692928,0.0,0.0
NO,strong,,3.5656084468645806,0.0,0.006732673267326733
NO2,strong,,3.7409062146185206,0.0,0.0
SO2,strong,,2.577250179526039,0.0,0.03128712871287129
H2S,weak,S/N < 2.0,1.678530722911875,0.0,0.16673267326732674
Benzene,weak,S/N < 2.0,1.2729162591476948,0.0,0.0
Toluene,weak,S/N < 2.0,1.1357306169622914,0.0,0.0
Ethylbenzene,weak,S/N < 2.0,0.4785490076723788,0.0,0.0
PM1 FIDAS,strong,,4.381899689871588,0.0,0.08752475247524752
PM2.5 FIDAS,strong,,5.6436553048628575,0.0,0.03564356435643564
PM4 FIDAS,strong,,4.651036493235221,0.0,0.03445544554455446
PM10 FIDAS,strong,,3.923035930915328,0.0,0.01900990099009901
TSP FIDAS,strong,,3.0428740017813216,0.0,0.014257425742574258
