datetime,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
2023-10-01 00:15:00,1404.2362500000002,5.641099049999999,1.514980896,3.322498366832733,0.5368321560000001,0.5163234,0.25,0.65,0.1,4.72,6.28,7.32,8.2,8.95
2023-10-01 00:20:00,1404.23558,5.87119675,1.5150595199999999,3.552475936412811,0.25,0.59138925,0.25,0.65,0.1,4.72,6.28,7.32,8.2,8.95
2023-10-01 00:25:00,1404.23424,6.31001925,1.4328799680000002,4.117069540023803,0.25,0.25,0.25,0.65,0.1,4.72,6.28,7.32,8.2,8.95
2023-10-01 00:30:00,1404.23223,6.352274179999999,1.378118976,4.243134064674377,0.671040594,0.25,0.28,0.4,0.1,4.67,6.3,7.37,8.84,10.28
2023-10-01 00:35:00,1404.2308900000003,5.37177377,1.337067264,3.325461065769195,0.6710408600000001,0.25,0.25,0.65,0.1,4.67,6.3,7.37,8.84,10.28
2023-10-01 00:40:00,1404.2302200000001,4.7252215799999995,1.0492326624,3.119424617290497,0.5368326880000001,0.25,0.25,0.65,0.1,4.67,6.3,7.37,8.84,10.28
2023-10-01 00:45:00,1404.22821,4.39175659,1.090439376,2.722895188331604,0.5368326880000001,0.25,0.25,0.65,0.1,4.37,5.71,6.6,7.2,7.65
2023-10-01 00:50:00,1404.2268700000002,5.060187829999999,1.2413298144,3.160396020412445,0.724724448,0.25,0.25,0.65,0.1,4.37,5.71,6.6,7.2,7.65
2023-10-01 00:55:00,1404.22553,5.49902179,1.43335296,3.3053487753868103,0.724724714,0.25,0.25,0.65,0.1,4.37,5.71,6.6,7.2,7.65
2023-10-01 01:00:00,1404.2241900000001,5.39515981,1.419721056,3.222349716424942,0.53683322,0.25,0.26,0.3,0.1,4.26,5.58,6.53,7.08,7.53
2023-10-01 01:05:00,1404.22285,4.852956649999999,1.2826944,2.8898589384555815,0.509991426,0.25,0.25,0.65,0.1,4.26,5.58,6.53,7.08,7.53
2023-10-01 01:10:00,1404.22084,5.31267073,1.502143968,3.013716238737106,0.25,0.25,0.25,0.65,0.1,4.26,5.58,6.53,7.08,7.53
2023-10-01 01:15:00,1410.82637,6.4612244,1.6667539199999999,3.9103427362442016,0.536833486,0.25,0.25,0.65,0.1,4.24,5.52,6.38,7.32,8.05
2023-10-01 01:20:00,1410.8257,5.68940486,1.488591936,3.4111910355091095,0.590517074,0.57704835,0.25,0.65,0.1,4.24,5.52,6.38,7.32,8.05
2023-10-01 01:25:00,1410.8236900000002,5.64816032,1.598361024,3.201950536966324,0.536833752,0.25,0.25,0.65,0.1,4.24,5.52,6.38,7.32,8.05
2023-10-01 01:30:00,1410.8223500000001,4.14573713,1.20081624,2.3079493021965027,0.536833752,0.25,0.25,0.3,0.1,3.85,4.92,5.72,6.41,7.0
2023-10-01 01:35:00,1410.8210100000001,4.375846289999999,1.2420271968,2.474987279176712,0.724725778,0.25,0.25,0.65,0.1,3.85,4.92,5.72,6.41,7.0
2023-10-01 01:40:00,1410.8196699999999,4.5015892299999996,1.4340643199999998,2.3068272471427917,0.778409366,0.25,0.25,0.65,0.1,3.85,4.92,5.72,6.41,7.0
2023-10-01 01:45:00,1410.81833,5.14919383,1.886621568,2.2618164002895353,0.7247263100000001,0.25,0.25,0.65,0.1,3.59,4.63,5.52,6.37,7.15
2023-10-01 01:50:00,1410.8163200000001,5.69243412,1.777010976,2.9728097271919247,0.751568104,0.25,0.25,0.65,0.1,3.59,4.63,5.52,6.37,7.15
2023-10-01 01:55:00,1410.81565,6.08955559,1.708534464,3.474731501340866,0.751568104,0.25,0.25,0.65,0.1,3.59,4.63,5.52,6.37,7.15
2023-10-01 02:00:00,1410.8143100000002,6.34056397,1.873155648,3.47379546880722,0.8320934860000001,0.25,0.25,0.25,0.1,3.25,4.16,4.9,5.67,6.12
2023-10-01 02:05:00,1410.8123,6.19494557,1.941796896,3.223125,0.671043254,0.25,0.25,0.65,0.1,3.25,4.16,4.9,5.67,6.12
2023-10-01 02:10:00,1410.8109599999998,5.46482515,1.6539282240000002,2.933572864532471,0.56367661,0.25,0.25,0.65,0.1,3.25,4.16,4.9,5.67,6.12
2023-10-01 02:15:00,1410.8102900000001,4.46331665,1.599160992,2.0158830165863035,0.8052522240000001,0.25,0.25,0.65,0.1,2.94,3.84,4.55,5.46,6.37
2023-10-01 02:20:00,1410.80895,5.36145595,1.6678022399999999,2.8089701080322262,0.6978855800000001,0.25,0.25,0.65,0.1,2.94,3.84,4.55,5.46,6.37
2023-10-01 02:25:00,1417.41314,5.153202919999999,1.61303376,2.6845376634597775,0.6442019920000001,0.25,0.25,0.65,0.1,2.94,3.84,4.55,5.46,6.37
2023-10-01 02:30:00,1417.41247,5.34158431,1.5994018559999998,2.893782032728195,0.8052527560000001,0.25,0.23,0.27,0.1,2.72,3.56,4.16,5.71,8.19
2023-10-01 02:35:00,1410.80493,5.67610171,1.695467904,3.081274973154068,0.805253022,0.25,0.25,0.65,0.1,2.72,3.56,4.16,5.71,8.19
2023-10-01 02:40:00,1410.80292,5.760109239999999,1.83267552,2.9552933275699615,0.5636771420000001,0.57792975,0.25,0.65,0.1,2.72,3.56,4.16,5.71,8.19
2023-10-01 02:45:00,1404.19538,6.15725745,1.915033536,3.2263969016075134,0.8052532880000001,0.50297925,0.25,0.65,0.1,2.47,3.22,4.05,4.58,6.1
2023-10-01 02:50:00,1404.19404,5.53147842,1.5722965439999999,3.125158983469009,0.751569966,0.25,0.25,0.65,0.1,2.47,3.22,4.05,4.58,6.1
2023-10-01 02:55:00,1397.5865000000001,7.05595447,1.791782304,4.3137233495712275,0.8052538200000001,0.25,0.25,0.65,0.1,2.47,3.22,4.05,4.58,6.1
2023-10-01 03:00:00,1397.5851600000003,5.4281054,1.5587445119999999,3.0425267326831817,1.046829966,0.25,0.25,0.65,0.1,2.15,2.9,3.55,5.07,7.12
2023-10-01 03:05:00,1404.18935,4.88582011,1.517682816,2.5630845391750334,0.7784122920000001,0.25,0.25,0.65,0.1,2.15,2.9,3.55,5.07,7.12
2023-10-01 03:10:00,1397.58181,6.05541434,1.86059328,3.2078716087341306,0.671045116,0.5932612500000001,0.25,0.65,0.1,2.15,2.9,3.55,5.07,7.12
2023-10-01 03:15:00,1397.5811400000002,5.49224511,1.805822304,2.7285266387462617,0.85893794,0.25,0.25,0.65,0.1,1.98,2.66,3.32,4.1,4.88
2023-10-01 03:20:00,1404.18533,4.36539286,1.476782112,2.105253745317459,0.9394635880000001,0.25,0.25,0.65,0.1,1.98,2.66,3.32,4.1,4.88
2023-10-01 03:25:00,1404.18466,4.804308949999999,1.696277856,2.208242825269699,0.805254618,0.25,0.25,0.65,0.1,1.98,2.66,3.32,4.1,4.88
2023-10-01 03:30:00,1404.18332,5.3684943,1.915776096,2.4364972388744355,0.805254884,0.25,0.25,0.25,0.1,1.75,2.42,3.13,4.36,5.19
2023-10-01 03:35:00,1410.78818,4.867938689999999,1.80614928,2.103720027208328,0.80525515,0.25,0.25,0.65,0.1,1.75,2.42,3.13,4.36,5.19
2023-10-01 03:40:00,1417.39304,4.8475628099999994,1.888512288,1.9572916150093078,0.67104618,0.25,0.25,0.65,0.1,1.75,2.42,3.13,4.36,5.19
2023-10-01 03:45:00,1423.9979000000003,5.9963304,2.1628726080000003,2.686164962053299,0.6442043860000001,0.25,0.25,0.65,0.1,1.5,2.18,2.86,4.22,5.44
2023-10-01 03:50:00,1423.99656,7.0824805500000005,2.38238208,3.4363671457767486,0.805255682,0.25,0.25,0.65,0.1,1.5,2.18,2.86,4.22,5.44
2023-10-01 03:55:00,1430.60142,7.91811128,2.739034272,3.7261594939231872,0.69788824,0.5337543,0.25,0.65,0.1,1.5,2.18,2.86,4.22,5.44
2023-10-01 04:00:00,1417.3870100000001,8.607605999999999,2.80769424,4.310573945045471,0.697888506,0.5038083,0.19,0.24,0.1,1.27,1.86,2.48,3.69,4.69
2023-10-01 04:05:00,1404.1732700000002,7.0422655,2.231782176,3.6266374456882473,0.617363124,0.25,0.25,0.65,0.1,1.27,1.86,2.48,3.69,4.69
2023-10-01 04:10:00,1397.5657300000003,6.625215089999999,2.0810088,3.4403378272056577,0.509995682,0.5939220000000001,0.25,0.65,0.1,1.27,1.86,2.48,3.69,4.69
2023-10-01 04:15:00,1397.56372,8.066336830000001,2.231950656,4.650450978279114,0.509995682,0.57897645,0.25,0.65,0.1,1.03,1.55,2.23,3.51,4.56
2023-10-01 04:20:00,1390.9568500000003,7.60752809,2.24575104,4.1705215287208555,0.6173633900000001,0.56403105,0.25,0.65,0.1,1.03,1.55,2.23,3.51,4.56
2023-10-01 04:25:00,1390.95551,7.92122649,2.20469184,4.547058887481689,0.509995948,0.25,0.25,0.65,0.1,1.03,1.55,2.23,3.51,4.56
2023-10-01 04:30:00,1384.3473000000001,6.731651749999999,1.971625344,3.7141802811622617,0.697889304,0.25,0.17,0.34,0.1,0.5,1.26,1.73,2.21,2.55
2023-10-01 04:35:00,1384.34596,6.418977109999999,1.80712896,3.6532591581344604,0.536838008,0.25,0.25,0.65,0.1,0.5,1.26,1.73,2.21,2.55
2023-10-01 04:40:00,1384.3439500000002,6.35685245,1.9306460159999999,3.4020980179309843,0.6978895700000001,0.25,0.25,0.65,0.1,0.5,1.26,1.73,2.21,2.55
2023-10-01 04:45:00,1384.34328,7.15077069,2.01301776,4.069950513839721,0.25,0.25,0.25,0.65,0.1,0.5,1.25,1.67,2.59,3.2
2023-10-01 04:50:00,1384.34194,8.15349395,2.191399392,4.799669728279113,0.644205982,0.25,0.25,0.65,0.1,0.5,1.25,1.67,2.59,3.2
2023-10-01 04:55:00,1384.33993,7.1935566,2.054331552,4.0495076179504395,0.5636803340000001,0.25,0.25,0.65,0.1,0.5,1.25,1.67,2.59,3.2
2023-10-01 05:00:00,1384.33926,7.04791528,2.246429952,3.60986923456192,0.5905226600000001,0.25,0.16,0.31,0.1,0.5,1.17,1.62,2.34,2.8
2023-10-01 05:05:00,1384.3379200000002,7.21546621,2.356238976,3.6093630802631376,0.7247324280000002,0.25,0.25,0.65,0.1,0.5,1.17,1.62,2.34,2.8
2023-10-01 05:10:00,1384.33591,6.98630059,1.9997203200000002,3.92583110332489,0.6710485740000001,0.25,0.25,0.65,0.1,0.5,1.17,1.62,2.34,2.8
2023-10-01 05:15:00,1384.3352399999999,7.174737369999999,1.821498432,4.387027606964111,0.778416548,0.25,0.25,0.65,0.1,0.5,1.02,0.75,2.86,4.09
2023-10-01 05:20:00,1384.3339,6.4235630200000005,1.9038739199999999,3.509781605005264,0.72473296,0.25,0.25,0.65,0.1,0.5,1.02,0.75,2.86,4.09
2023-10-01 05:25:00,1390.93876,5.65150091,1.8765252479999999,2.779575134515762,0.617364986,0.25,0.25,0.65,0.1,0.5,1.02,0.75,2.86,4.09
2023-10-01 05:30:00,1397.54362,5.04647403,1.712015136,2.426322695016861,0.7784170800000001,0.25,0.15,0.32,0.03,0.5,0.5,0.75,2.02,2.53
2023-10-01 05:35:00,1390.93608,4.420557479999999,1.725813024,1.7792892384529113,0.25,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.02,2.53
2023-10-01 05:40:00,1397.5409399999999,3.5231821799999996,1.437853248,1.3226217114925385,0.25,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.02,2.53
2023-10-01 05:45:00,1404.1458000000002,5.36119046,1.904287008,2.4467767477035522,0.25,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.43,3.05
2023-10-01 05:50:00,1397.53826,6.489265109999999,2.370728256,2.8609871959686277,0.5636816640000001,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.43,3.05
2023-10-01 05:55:00,1397.53692,6.30184445,2.28851376,2.799391655921936,0.56368193,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.43,3.05
2023-10-01 06:00:00,1390.92938,7.283773539999999,2.480632128,3.4872931444644926,0.56368193,0.25,0.13,0.2,0.1,0.5,0.5,0.75,2.63,3.54
2023-10-01 06:05:00,1390.9280400000002,6.5534392,2.1240835199999997,3.3026381289958953,0.64420811,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.63,3.54
2023-10-01 06:10:00,1384.31983,5.86485746,1.904698848,2.9498135185241696,0.644208376,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.63,3.54
2023-10-01 06:15:00,1384.31849,7.45237115,2.4534581760000003,3.6974794661998747,0.536840402,0.25,0.25,0.65,0.1,0.5,1.01,0.75,2.44,2.99
2023-10-01 06:20:00,1377.71162,8.225512409999999,2.618149248,4.218569073677063,0.671050702,0.25,0.25,0.65,0.1,0.5,1.01,0.75,2.44,2.99
2023-10-01 06:25:00,1377.70961,7.787513120000001,2.6182366079999997,3.780436174869537,0.536840668,0.25,0.25,0.65,0.1,0.5,1.01,0.75,2.44,2.99
2023-10-01 06:30:00,1377.7082699999999,8.43537748,2.824082976,4.113263478279114,0.617366848,0.25,0.13,0.29,0.1,0.5,0.5,0.75,2.63,3.96
2023-10-01 06:35:00,1384.3131300000002,8.853543329999999,2.686998912,4.741229512691498,0.5636829940000001,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.63,3.96
2023-10-01 06:40:00,1377.7055900000003,8.74965652,2.60478192,4.763171517848968,0.5636829940000001,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.63,3.96
2023-10-01 06:45:00,1377.70425,9.20959407,2.76948048,4.971045877933502,0.697893294,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.06,2.9
2023-10-01 06:50:00,1377.70291,8.082462959999999,2.481499488,4.284655566215515,0.5368412,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.06,2.9
2023-10-01 06:55:00,1377.7015700000002,8.437988449999999,2.563892448,4.514083037376404,0.5368412,0.25,0.25,0.65,0.1,0.5,0.5,0.75,2.06,2.9
2023-10-01 07:00:00,1377.7002300000001,8.187915969999999,2.536542528,4.305868053436279,0.751577946,0.25,0.12,0.39,0.1,0.5,0.5,0.75,1.0,1.25
2023-10-01 07:05:00,1384.3044200000002,7.33223597,2.468041056,3.5550256061553953,0.644209706,0.25,0.25,0.65,0.1,0.5,0.5,0.75,1.0,1.25
2023-10-01 07:10:00,1377.6975499999999,7.54158152,2.4955632,3.722250061035156,0.7247361520000001,0.25,0.25,0.65,0.1,0.5,0.5,0.75,1.0,1.25
2023-10-01 07:15:00,1377.69621,7.60474904,2.468214528,3.827273321151733,0.8052625980000001,0.25,0.25,0.65,0.1,0.5,0.5,0.75,1.0,3.11
2023-10-01 07:20:00,1377.6942000000001,8.16911966,2.619201312,4.160566933155059,0.617368178,0.25,0.25,0.65,0.1,0.5,0.5,0.75,1.0,3.11
2023-10-01 07:25:00,1384.2997300000002,7.14634522,2.372359392,3.5155710721015927,0.7247366840000001,0.25,0.25,0.65,0.1,0.5,0.5,0.75,1.0,3.11
2023-10-01 07:30:00,1384.2983900000004,7.37657853,2.4959101439999998,3.556715974807739,0.697894624,0.25,0.11,0.31,0.1,0.5,0.5,0.75,2.76,4.02
