,PC1,PC2,PC3,PC4,PC5
CH4,-0.0021486219194651827,-0.021690396575762275,0.005258771372911905,0.6836908391648384,0.009663874862873482
NOX,-0.0051136409983195165,0.6147809750601759,0.0015328197008988157,0.01937367028048009,-0.0027120201830247302
NO,-0.05146022015113863,0.5217224994522724,0.018440830517528085,0.1924737182643014,-0.033195597205945365
NO2,0.04538837460787551,0.5896611075284756,-0.016950919637831935,-0.16948054638417462,0.03035401709224945
SO2,0.0010728387978286547,0.0009025502560775245,0.0019192423451350406,0.007274866509955904,0.9899683273471606
H2S,0.0055206637799575355,0.01081404765457967,-0.010514693657108345,0.6649473178814318,0.014959773139604431
Benzene,0.006354689863374515,0.0265429548276345,0.555429899273811,-0.05192896964184416,-0.054984213228336236
Toluene,0.002692314451729534,-0.0058596518432555535,0.589907694570445,0.0012336611390262593,0.03359402529046161
Ethylbenzene,-0.008696307297011102,-0.019186513651918216,0.5849405293315438,0.037113446055989006,0.02154069152875281
PM1 FIDAS,0.3986485739018595,-0.008767876742504203,0.019664026845243567,0.11013037939124971,-0.07495055568535876
PM2.5 FIDAS,0.4451518119150686,-0.006657102170246284,0.006845013206895835,0.0435884921017497,-0.036142957655213394
PM4 FIDAS,0.4595141537774619,-0.003944293340648367,-0.0034440151650781186,0.0041805363368163494,-0.009943854427449156
PM10 FIDAS,0.46519168703196534,0.008181183685165568,-0.007565458040411008,-0.0386629863804345,0.03043607448223809
TSP FIDAS,0.4587686844682107,0.015838713496560422,-0.008766189479692226,-0.06780370256726576,0.0710626399121192
