species,snr,missing_frac,bdl_frac,valid_frac,variance,total_count,mdl
CH4,8.854625175506618,0.0,0.0,1.0,11410399.882498557,2520,50.0
NOX,3.8961814745335888,0.0,0.0,1.0,280.67380330032006,2520,1.0
NO,3.572683066798836,0.0,0.006746031746031746,0.9932539682539683,39.346646157585404,2520,0.5
NO2,3.7483286475840343,0.0,0.0,1.0,80.64044515966928,2520,1.0
SO2,2.582363771152083,0.0,0.03134920634920635,0.9686507936507937,4.035162456009457,2520,0.5
H2S,1.681861141012891,0.0,0.16706349206349205,0.832936507936508,4.105082805833893,2520,0.5
Benzene,1.2583240884474922,0.0,0.0,1.0,0.007029320718098012,2520,0.01
Toluene,1.12371774937825,0.0,0.0,1.0,0.21333062093171262,2520,0.02
Ethylbenzene,0.47949850967172875,0.0,0.0,1.0,0.020392880378961163,2520,0.02
PM1 FIDAS,4.382470016867044,0.0,0.08769841269841269,0.9123015873015873,7.172483700560768,2520,1.0
PM2.5 FIDAS,5.643937868185963,0.0,0.03571428571428571,0.9642857142857143,12.184121034566884,2520,1.0
PM4 FIDAS,4.651384674857732,0.0,0.034523809523809526,0.9654761904761905,20.169706521452557,2520,1.5
PM10 FIDAS,3.9235359509079033,0.0,0.01904761904761905,0.9809523809523809,43.20140805287941,2520,2.0
TSP FIDAS,3.043126708458063,0.0,0.014285714285714285,0.9857142857142858,81.12940395441011,2520,2.5
