species,category,reasons,snr,missing_frac,bdl_frac
CH4,strong,,8.854625175506618,0.0,0.0
NOX,strong,,3.8961814745335888,0.0,0.0
NO,strong,,3.572683066798836,0.0,0.006746031746031746
NO2,strong,,3.7483286475840343,0.0,0.0
SO2,strong,,2.582363771152083,0.0,0.03134920634920635
H2S,weak,S/N < 2.0,1.681861141012891,0.0,0.16706349206349205
Benzene,weak,S/N < 2.0,1.2583240884474922,0.0,0.0
Toluene,weak,S/N < 2.0,1.12371774937825,0.0,0.0
Ethylbenzene,weak,S/N < 2.0,0.47949850967172875,0.0,0.0
PM1 FIDAS,strong,,4.382470016867044,0.0,0.08769841269841269
PM2.5 FIDAS,strong,,5.643937868185963,0.0,0.03571428571428571
PM4 FIDAS,strong,,4.651384674857732,0.0,0.034523809523809526
PM10 FIDAS,strong,,3.9235359509079033,0.0,0.01904761904761905
TSP FIDAS,strong,,3.043126708458063,0.0,0.014285714285714285
