species,category,reasons,snr,missing_frac,bdl_frac
NOX,strong,,3.845974748940593,0.0,0.0
NO,strong,,3.336637932383508,0.0,0.003518990413784735
NO2,strong,,3.6562340627040055,0.0,0.0014561339643247178
SO2,strong,,2.6107972535274073,0.0,0.029608057274602598
H2S,strong,,2.128955210810108,0.0,0.17267321926950613
Benzene,weak,S/N < 2.0,1.180869832185706,0.0,0.0
Toluene,weak,S/N < 2.0,1.0783232333550463,0.0,0.0
Ethylbenzene,weak,S/N < 2.0,0.6240019656826566,0.0,0.0
PM1 FIDAS,strong,,5.43874471759101,0.0,0.037252760587307365
PM2.5 FIDAS,strong,,6.443975589242094,0.0,0.016988229583788376
PM4 FIDAS,strong,,5.2304463966327885,0.0,0.018080330057031913
PM10 FIDAS,strong,,4.301282496326199,0.0,0.014439995146220118
TSP FIDAS,strong,,3.2766019525192744,0.0,0.01334789467297658
