,PC1,PC2,PC3,PC4,PC5,PC6
NOX,-0.0018477855797402343,-0.0005104542078788523,0.6087904775434871,-0.006731810937471773,0.005334542797801954,0.2334456415370867
NO,0.0022388384762764358,-0.00017129212346964366,0.791369480250367,0.009675837673150143,-0.0070861694315898895,-0.13953652143135847
NO2,-0.009836617860803695,-0.0011353533896650272,-0.027223037638806003,-0.03861145465790371,0.029522737502112775,0.931699590227993
SO2,0.00784195579804265,0.0012014802000844989,-0.0025986483880355003,0.035851041707091275,0.9721811792484957,0.02598311047189877
H2S,-0.012958594491094795,-0.0015507768611380602,0.004083597929794707,0.9472091915276502,0.0401188149692775,-0.03814409070214867
Benzene,-0.011014393326890673,0.47214992784885007,0.02068766853701482,0.007948921952860065,-0.017745852899098392,0.003555289213532021
Toluene,0.005575702550203601,0.5056847998473171,0.018804613063241535,-0.03299806939934072,0.012650585699710875,-0.015116079476431014
Ethylbenzene,-0.0026027390826224577,0.5108758187238922,-0.013992157120878796,0.0179245127840662,0.0066736490134503956,-0.008620450161100777
m&p-Xylene,0.003505128864224665,0.5099345062377456,-0.02219466640663921,-0.0007567616380453578,0.0028439743690355443,0.014227553177062065
PM1 FIDAS,0.3534954703800897,0.014203265398033698,-0.006641207368798243,0.2150284518164787,-0.14629587078525913,0.16302181920892433
PM2.5 FIDAS,0.4201755010595342,0.006635015300372834,-0.015654036649907263,0.11835977899676889,-0.08719954100684528,0.09098869981085574
PM4 FIDAS,0.462413660992384,0.00034776605232570513,-0.011900658439245326,0.029412347514533223,-0.030805104544732006,0.018103407440688866
PM10 FIDAS,0.49274020397058443,-0.005152716074396334,0.008871179028006913,-0.08647704666219341,0.05880988458311915,-0.06921673605180605
TSP FIDAS,0.491292301535721,-0.007222951712291781,0.01909248254456778,-0.17267341949058468,0.13550865315702587,-0.12388241685272344
