datetime,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,m&p-Xylene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
2023-11-01 00:00:00,20.191870599999998,3.6985141440000002,14.529541893005371,1.153437446,1.09336485,0.45,1.23,0.41,1.63,9.25,10.77,11.94,13.5,15.37
2023-11-01 00:15:00,21.285612999999998,1.4795127360000002,19.021295852661133,0.7898066680000001,0.6132739500000001,0.24,0.87,0.13,0.39,8.56,9.99,10.96,12.16,13.28
2023-11-01 00:20:00,20.1197108,1.0371526464,18.532402257919312,0.685185676,0.5837109,0.24,0.87,0.13,0.39,8.56,9.99,10.96,12.16,13.28
2023-11-01 00:25:00,18.997841740000002,1.0505917344,17.389964418411253,0.7896609,0.50998335,0.24,0.87,0.13,0.39,8.56,9.99,10.96,12.16,13.28
2023-11-01 00:30:00,18.36031812,0.9535336512,16.900983390808104,0.711177068,0.5981916,0.24,0.87,0.13,0.39,8.57,9.97,10.99,12.14,12.77
2023-11-01 00:35:00,17.72279068,0.8979114144,16.348582572937012,0.8940627080000001,0.5980713,0.24,0.87,0.13,0.39,8.57,9.97,10.99,12.14,12.77
2023-11-01 00:40:00,17.877846390000002,1.2152199072,16.01801531791687,0.94626308,0.25,0.24,0.87,0.13,0.39,8.57,9.97,10.99,12.14,12.77
2023-11-01 00:45:00,17.504513969999998,0.9524138208,16.046893663406372,0.632548266,0.5978307,0.24,0.87,0.13,0.39,7.82,9.04,10.03,11.42,12.41
2023-11-01 00:50:00,16.73488329,0.7862926656,15.531502447128295,0.763159586,0.25,0.24,0.87,0.13,0.39,7.82,9.04,10.03,11.42,12.41
2023-11-01 00:55:00,16.40557446,1.0069167264,14.86453999042511,0.763086702,0.5975901,0.24,0.87,0.13,0.39,7.82,9.04,10.03,11.42,12.41
2023-11-01 01:00:00,15.7460209,1.0894180128,14.07872257709503,0.606193784,0.5238624,0.24,0.88,0.28,1.12,6.62,7.6,8.31,9.48,10.28
2023-11-01 01:05:00,15.174527889999998,1.061420256,13.550078907012939,0.606121166,0.59734935,0.24,0.87,0.13,0.39,6.62,7.6,8.31,9.48,10.28
2023-11-01 01:10:00,14.2067328,0.8952974784,12.836525664329528,0.710594794,0.5089000499999999,0.24,0.87,0.13,0.39,6.62,7.6,8.31,9.48,10.28
2023-11-01 01:15:00,13.459099590000001,0.7291738272,12.343136563301085,0.5537032060000001,0.5235012,0.24,0.87,0.13,0.39,5.34,6.27,7.0,8.13,9.18
2023-11-01 01:20:00,12.90961169,0.5768616672,12.026754379272461,0.73658592,0.25,0.24,0.87,0.13,0.39,5.34,6.27,7.0,8.13,9.18
2023-11-01 01:25:00,12.64634302,0.7974889728,11.425826501846313,0.579694598,0.5821467,0.24,0.87,0.13,0.39,5.34,6.27,7.0,8.13,9.18
2023-11-01 01:30:00,12.8674408,1.0595553696,11.245845046043396,0.6057588740000001,0.50841855,0.32,0.75,0.22,0.86,5.0,5.76,6.29,7.04,7.56
2023-11-01 01:35:00,12.95643916,1.1696837568,11.1662975358963,0.7102311720000001,0.58190595,0.24,0.87,0.13,0.39,5.0,5.76,6.29,7.04,7.56
2023-11-01 01:40:00,12.45098249,1.34887584,10.386596779823304,0.6840219260000001,0.55234245,0.24,0.87,0.13,0.39,5.0,5.76,6.29,7.04,7.56
2023-11-01 01:45:00,11.967536659999999,1.2380020224,10.072838492393494,0.527132466,0.5375006999999999,0.24,0.87,0.13,0.39,4.43,5.12,5.57,6.29,6.8
2023-11-01 01:50:00,11.37400607,0.9475610976,9.923812823295593,0.579332306,0.25,0.24,0.87,0.13,0.39,4.43,5.12,5.57,6.29,6.8
2023-11-01 01:55:00,11.374932419999999,1.0300647552,9.798471441268921,0.5269877620000001,0.5667031499999999,0.24,0.87,0.13,0.39,4.43,5.12,5.57,6.29,6.8
2023-11-01 02:00:00,10.29701819,0.988253136,8.784547157287598,0.605323432,0.5518611,0.28,0.56,0.2,0.8,3.58,4.11,4.5,4.76,4.95
2023-11-01 02:05:00,9.3291849,1.1121961344,7.627025327682495,0.526843058,0.5370192,0.24,0.87,0.13,0.39,3.58,4.11,4.5,4.76,4.95
2023-11-01 02:10:00,8.9337958,1.0703843903999999,7.295627460479736,0.683585952,0.5957853,0.24,0.87,0.13,0.39,3.58,4.11,4.5,4.76,4.95
2023-11-01 02:15:00,8.73655965,1.1528892960000001,6.972121319770813,0.735784994,0.522057,0.24,0.87,0.13,0.39,2.91,3.4,3.76,4.38,5.1
2023-11-01 02:20:00,8.93563704,1.2215817119999999,7.0660683846473695,0.6834404500000001,0.25,0.24,0.87,0.13,0.39,2.91,3.4,3.76,4.38,5.1
2023-11-01 02:25:00,8.76041746,1.1659568544,6.975980205535889,0.7617750560000001,0.53653785,0.24,0.87,0.13,0.39,2.91,3.4,3.76,4.38,5.1
2023-11-01 02:30:00,9.28976059,1.3037157119999998,7.29449083328247,0.787838002,0.25,0.2,0.49,0.14,0.6,2.24,2.67,3.06,3.28,4.54
2023-11-01 02:35:00,8.78427909,1.0685197536,7.1489647555351254,0.657086766,0.25,0.24,0.87,0.13,0.39,2.24,2.67,3.06,3.28,4.54
2023-11-01 02:40:00,8.543004069999999,1.0957730784,6.865979192256927,0.7354208400000001,0.56562,0.24,0.87,0.13,0.39,2.24,2.67,3.06,3.28,4.54
2023-11-01 02:45:00,8.32374753,1.0125208704,6.7741364359855645,0.8660257760000001,0.25,0.24,0.87,0.13,0.39,2.03,2.36,2.65,3.01,3.24
2023-11-01 02:50:00,8.676952369999999,1.0535874336,7.06449140548706,0.99663018,0.25,0.24,0.87,0.13,0.39,2.03,2.36,2.65,3.01,3.24
2023-11-01 02:55:00,8.80998005,1.0532142816,7.1980897283554075,0.787473316,0.25,0.24,0.87,0.13,0.39,2.03,2.36,2.65,3.01,3.24
2023-11-01 03:00:00,8.018256399999999,0.762761376,6.850889282226563,0.9703480500000001,0.25,0.19,0.41,0.1,0.45,1.93,2.31,2.55,3.19,3.9
2023-11-01 03:05:00,7.60083545,0.8176413023999999,6.349477305412292,0.996410198,0.25,0.24,0.87,0.13,0.39,1.93,2.31,2.55,3.19,3.9
2023-11-01 03:10:00,7.711844649999999,1.0382819616,6.1228071570396425,0.813389962,0.25,0.24,0.87,0.13,0.39,1.93,2.31,2.55,3.19,3.9
2023-11-01 03:15:00,8.219176939999999,1.3832445119999999,6.102192583084106,0.8394521100000001,0.25,0.24,0.87,0.13,0.39,1.91,2.29,2.67,3.1,3.46
2023-11-01 03:20:00,8.50633016,1.1480438112,6.749308235645294,0.78710863,0.25,0.24,0.87,0.13,0.39,1.91,2.29,2.67,3.1,3.46
2023-11-01 03:25:00,7.9788149,0.8852141376,6.624040169715881,0.787035746,0.25,0.24,0.87,0.13,0.39,1.91,2.29,2.67,3.1,3.46
2023-11-01 03:30:00,8.13385915,1.1058574176,6.441401119232178,0.7869628620000001,0.25,0.17,0.4,0.09,0.42,1.89,2.3,2.61,3.13,3.81
2023-11-01 03:35:00,8.178818640000001,0.8982806976,6.804046216011047,0.708484882,0.25,0.24,0.87,0.13,0.39,1.89,2.3,2.61,3.13,3.81
2023-11-01 03:40:00,8.28982784,0.7597707936,7.127037322521209,0.7606820620000001,0.25,0.24,0.87,0.13,0.39,1.89,2.3,2.61,3.13,3.81
2023-11-01 03:45:00,8.378820469999999,0.8699064192,7.047473418712616,0.839014008,0.25,0.24,0.87,0.13,0.39,2.07,2.54,2.96,3.85,4.69
2023-11-01 03:50:00,9.08432672,1.0767385824,7.436433985233307,0.577592134,0.5933786999999999,0.24,0.87,0.13,0.39,2.07,2.54,2.96,3.85,4.69
2023-11-01 03:55:00,9.72378517,1.297385856,7.738203496932983,0.65592408,0.54909315,0.24,0.87,0.13,0.39,2.07,2.54,2.96,3.85,4.69
2023-11-01 04:00:00,9.08616987,1.297012704,7.101158106327056,0.7865255580000001,0.25,0.17,0.39,0.08,0.36,2.08,2.55,2.99,3.74,5.52
2023-11-01 04:05:00,9.10911088,1.379524224,6.997819294929504,0.7603176420000001,0.50468745,0.24,0.87,0.13,0.39,2.08,2.55,2.99,3.74,5.52
2023-11-01 04:10:00,8.317362399999999,1.3238958719999998,6.291207857131957,0.78637979,0.25,0.24,0.87,0.13,0.39,2.08,2.55,2.99,3.74,5.52
2023-11-01 04:15:00,7.877909599999999,1.2268266816,6.000314173698425,0.786306906,0.25,0.24,0.87,0.13,0.39,1.75,2.17,2.59,3.02,3.31
2023-11-01 04:20:00,9.04582112,1.557988224,6.661399958133697,1.0214445220000001,0.25,0.24,0.87,0.13,0.39,1.75,2.17,2.59,3.02,3.31
2023-11-01 04:25:00,8.56232754,1.350407136,6.495598564147949,0.838429606,0.25,0.24,0.87,0.13,0.39,1.75,2.17,2.59,3.02,3.31
2023-11-01 04:30:00,8.144889399999999,1.1151968256,6.438137869834899,0.969029222,0.25,0.15,0.36,0.08,0.34,1.3,1.76,2.09,2.81,3.86
2023-11-01 04:35:00,7.83754748,1.114824048,6.131366014480591,0.8121496040000001,0.25,0.24,0.87,0.13,0.39,1.3,1.76,2.09,2.81,3.86
2023-11-01 04:40:00,8.21278608,1.30784784,6.211192216873169,0.7598077200000001,0.25,0.24,0.87,0.13,0.39,1.3,1.76,2.09,2.81,3.86
2023-11-01 04:45:00,8.940331819999999,1.597572288,6.495328979492188,0.7858693360000001,0.25,0.24,0.87,0.13,0.39,1.34,2.04,2.63,3.47,4.17
2023-11-01 04:50:00,8.63298608,1.5143157120000001,6.315403079986572,0.942601856,0.25,0.24,0.87,0.13,0.39,1.34,2.04,2.63,3.47,4.17
2023-11-01 04:55:00,8.34765882,1.279102656,6.39005799293518,1.020930876,0.25,0.24,0.87,0.13,0.39,1.34,2.04,2.63,3.47,4.17
2023-11-01 05:00:00,9.09723068,1.5412013759999998,6.738501169681549,0.837918886,0.25,0.14,0.35,0.07,0.31,1.48,2.39,3.19,3.78,4.26
2023-11-01 05:05:00,9.51651579,1.485573024,7.242922749519348,1.099186214,0.25,0.24,0.87,0.13,0.39,1.48,2.39,3.19,3.78,4.26
2023-11-01 05:10:00,9.09907192,1.512828096,6.783766345977783,0.9161747560000001,0.25,0.24,0.87,0.13,0.39,1.48,2.39,3.19,3.78,4.26
2023-11-01 05:15:00,8.461431789999999,1.526271552,6.12555172920227,0.8638336700000001,0.25,0.24,0.87,0.13,0.39,1.61,2.72,3.69,4.8,5.79
2023-11-01 05:20:00,9.16697433,1.512085536,6.852804608345031,0.889894754,0.25,0.24,0.87,0.13,0.39,1.61,2.72,3.69,4.8,5.79
2023-11-01 05:25:00,9.34405043,1.4840854079999999,7.07273377418518,1.020490912,0.25,0.24,0.87,0.13,0.39,1.61,2.72,3.69,4.8,5.79
2023-11-01 05:30:00,8.90458426,1.359382752,6.824118432998657,0.6806777740000001,0.25,0.13,0.36,0.06,0.29,1.76,3.02,4.05,5.13,5.93
2023-11-01 05:35:00,8.42107349,1.0412767872,6.827452721595764,0.73287256,0.25,0.24,0.87,0.13,0.39,1.76,3.02,4.05,5.13,5.93
2023-11-01 05:40:00,7.43111285,0.7922417568,6.218627653121948,0.811201048,0.25,0.24,0.87,0.13,0.39,1.76,3.02,4.05,5.13,5.93
2023-11-01 05:45:00,8.73119064,1.0681599552,7.096426258087158,0.9417964080000001,0.25,0.24,0.87,0.13,0.39,1.86,3.19,4.29,5.16,5.94
2023-11-01 05:50:00,9.436740819999999,1.357893888,7.358553619384765,0.889455854,0.25,0.24,0.87,0.13,0.39,1.86,3.19,4.29,5.16,5.94
2023-11-01 05:55:00,7.6981022,1.0259698176,6.127907862663268,0.784848428,0.5609268,0.24,0.87,0.13,0.39,1.86,3.19,4.29,5.16,5.94
2023-11-01 06:00:00,8.31557464,1.122299568,6.5979523897171015,0.810909246,0.25,0.14,0.38,0.06,0.28,1.85,3.19,4.24,5.46,6.67
2023-11-01 06:05:00,8.470634169999999,1.1771856096,6.6690116262435915,0.810836096,0.25,0.24,0.87,0.13,0.39,1.85,3.19,4.24,5.46,6.67
2023-11-01 06:10:00,7.788937979999999,1.28733072,5.818744354248047,0.9936969980000001,0.51640005,0.24,0.87,0.13,0.39,1.85,3.19,4.24,5.46,6.67
2023-11-01 06:15:00,9.00095331,1.466552256,6.756470444202423,0.784556892,0.56044545,0.24,0.87,0.13,0.39,1.81,3.31,4.37,6.12,7.45
2023-11-01 06:20:00,9.552374129999999,1.286586912,7.583318915367126,0.8628837840000001,0.57504705,0.24,0.87,0.13,0.39,1.81,3.31,4.37,6.12,7.45
2023-11-01 06:25:00,9.971680249999999,1.4934366719999999,7.686052527427673,0.706011348,0.5602048500000001,0.24,0.87,0.13,0.39,1.81,3.31,4.37,6.12,7.45
2023-11-01 06:30:00,10.214825159999998,1.437805824,8.01433650970459,0.7320719,0.25,0.14,0.37,0.07,0.32,1.9,3.32,4.4,5.46,6.17
2023-11-01 06:35:00,11.030494479999998,1.561768416,8.640287489891051,0.784265622,0.25,0.24,0.87,0.13,0.39,1.9,3.32,4.4,5.46,6.17
2023-11-01 06:40:00,11.75808988,1.575211872,9.347308769226073,0.784192738,0.25,0.24,0.87,0.13,0.39,1.9,3.32,4.4,5.46,6.17
2023-11-01 07:00:00,20.191870599999998,3.6985141440000002,14.529541893005371,1.153437446,1.09336485,0.15,0.49,0.08,0.33,1.63,2.76,3.67,4.46,4.98
2023-11-01 07:30:00,20.191870599999998,3.6985141440000002,14.529541893005371,1.153437446,1.09336485,0.13,0.66,0.04,0.25,0.5,1.21,1.62,2.23,3.59
2023-11-01 08:30:00,10.23844613,1.6992256319999999,7.6378688240051265,1.153437446,1.09336485,0.24,0.27,0.05,0.23,0.5,1.07,0.75,2.55,3.61
2023-11-01 08:35:00,9.95094529,1.1604036288000001,8.175007143020629,1.153437446,1.09336485,0.24,0.87,0.13,0.39,0.5,1.07,0.75,2.55,3.61
2023-11-01 08:40:00,9.66344445,1.1465553216,7.908700308799744,1.153437446,1.09336485,0.24,0.87,0.13,0.39,0.5,1.07,0.75,2.55,3.61
2023-11-01 08:45:00,9.44200096,1.146522,7.687308464050292,1.153437446,1.09336485,0.24,0.87,0.13,0.39,0.5,1.04,0.75,2.67,3.53
2023-11-01 08:50:00,9.17651478,1.0635975168,7.54873375415802,1.153437446,1.09336485,0.24,0.87,0.13,0.39,0.5,1.04,0.75,2.67,3.53
2023-11-01 08:55:00,8.889002479999998,1.1050096512,7.197841546535492,1.153437446,1.09336485,0.24,0.87,0.13,0.39,0.5,1.04,0.75,2.67,3.53
2023-11-01 09:00:00,8.05096706,1.0497151392,6.444432125091552,1.153437446,1.09336485,0.13,0.37,0.07,0.27,1.22,1.9,2.55,3.67,4.41
2023-11-01 09:05:00,7.631320959999999,0.8977128576,6.257417333126068,1.153437446,1.09336485,0.24,0.87,0.13,0.39,1.22,1.9,2.55,3.67,4.41
2023-11-01 09:10:00,7.67411642,0.8424173471999999,6.384839344024658,1.153437446,1.09336485,0.24,0.87,0.13,0.39,1.22,1.9,2.55,3.67,4.41
2023-11-01 09:15:00,7.034253049999999,0.6213362688,6.083329398632049,1.153437446,1.09336485,0.24,0.87,0.13,0.39,0.5,1.31,1.88,3.35,5.61
