,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
CH4,1.0,0.5320353394987485,0.5283122937239784,0.3553262438312159,0.04582162081571869,0.9370356755953826,0.28380324033690363,0.28137476512870646,0.3189836774239874,0.4722612958500016,0.42685041339837965,0.36832691501084763,0.29897598426089844,0.2091456729714566
NOX,0.5320353394987485,1.0,0.9144960700735643,0.7877796563173431,0.22319457757630484,0.45740541406706464,0.296629990212778,0.2927966398932694,0.2633531789129902,0.521813238629242,0.4698360667502161,0.4068456924130695,0.36723928582909815,0.2929717331608985
NO,0.5283122937239784,0.9144960700735643,1.0,0.4712138652841737,0.18666130308950932,0.475455914609861,0.26865227774177475,0.2706063194369855,0.24742770674477646,0.36571248134827145,0.32826409192537154,0.28288014732050426,0.2585048300379175,0.2074698690454861
NO2,0.3553262438312159,0.7877796563173431,0.4712138652841737,1.0,0.20251138210645928,0.27305801332032753,0.23756785842113645,0.22625453244657578,0.197295951110983,0.5806970711836064,0.5244121763862809,0.45620352445452467,0.4070106345521952,0.3228449056291346
SO2,0.04582162081571869,0.22319457757630484,0.18666130308950932,0.20251138210645928,1.0,0.04547119208268406,-0.00423612676864561,0.04093602961808446,0.01644780582611285,-0.08213657203456005,0.002086679834771243,0.057922523549764064,0.07812362550894936,0.09375831443370629
H2S,0.9370356755953826,0.45740541406706464,0.475455914609861,0.27305801332032753,0.04547119208268406,1.0,0.23744973344846115,0.23044382820972362,0.27371485481551117,0.3822166740787907,0.3447099279987341,0.2965243971195512,0.23912273204291765,0.16606118124330033
Benzene,0.28380324033690363,0.296629990212778,0.26865227774177475,0.23756785842113645,-0.00423612676864561,0.23744973344846115,1.0,0.9180109458763475,0.923831482020996,0.2789761310408735,0.24765062249290345,0.21048909341324812,0.17691885456617742,0.12980247060357267
Toluene,0.28137476512870646,0.2927966398932694,0.2706063194369855,0.22625453244657578,0.04093602961808446,0.23044382820972362,0.9180109458763475,1.0,0.9312039923306039,0.23654452097890866,0.21539623980760886,0.18713157093163288,0.15828688139239716,0.11771908741940958
Ethylbenzene,0.3189836774239874,0.2633531789129902,0.24742770674477646,0.197295951110983,0.01644780582611285,0.27371485481551117,0.923831482020996,0.9312039923306039,1.0,0.2364063093503567,0.21164737694186603,0.18053834061278684,0.1488671668766783,0.10689042838386927
PM1 FIDAS,0.4722612958500016,0.521813238629242,0.36571248134827145,0.5806970711836064,-0.08213657203456005,0.3822166740787907,0.2789761310408735,0.23654452097890866,0.2364063093503567,1.0,0.9597326210008297,0.8802071857865836,0.7465827760068863,0.550258459914881
PM2.5 FIDAS,0.42685041339837965,0.4698360667502161,0.32826409192537154,0.5244121763862809,0.002086679834771243,0.3447099279987341,0.24765062249290345,0.21539623980760886,0.21164737694186603,0.9597326210008297,1.0,0.9773811571894876,0.8817482939752217,0.6996557086919861
PM4 FIDAS,0.36832691501084763,0.4068456924130695,0.28288014732050426,0.45620352445452467,0.057922523549764064,0.2965243971195512,0.21048909341324812,0.18713157093163288,0.18053834061278684,0.8802071857865836,0.9773811571894876,1.0,0.9389230673740316,0.7762293572312616
PM10 FIDAS,0.29897598426089844,0.36723928582909815,0.2585048300379175,0.4070106345521952,0.07812362550894936,0.23912273204291765,0.17691885456617742,0.15828688139239716,0.1488671668766783,0.7465827760068863,0.8817482939752217,0.9389230673740316,1.0,0.9424760166098215
TSP FIDAS,0.2091456729714566,0.2929717331608985,0.2074698690454861,0.3228449056291346,0.09375831443370629,0.16606118124330033,0.12980247060357267,0.11771908741940958,0.10689042838386927,0.550258459914881,0.6996557086919861,0.7762293572312616,0.9424760166098215,1.0
